"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"153","2_N_F",0,4427.9688874694,0,967.718922437843,0,0,0,5395.68780990724,0,0
"154","2_N_L",785.495023875039,40478.9890869441,20470.7493332053,12833.3921493215,667.104288623331,0,9215.92037237662,84451.6502543459,0,0.251697205360253
"155","2_N_M",11432.8075935381,22530.2987434339,0,6705.87511561548,3.96273251610996,0,2553.62026053042,43226.564445634,0,0.264485686988081
"156","2_N_U",21960.5930875623,130477.694126134,10285.5720492109,21858.455427195,547.331446309701,0,12830.9194420146,197960.565578426,0,0.162891862036018
"157","2_P_F",0,17424.5815589849,0,0,0,0,0,17424.5815589849,0,0
"158","2_P_L",10959.0939255099,293096.700343456,8218.18252630076,48422.2281796321,16.7063732504437,0,0,360712.91134815,0,0.053164929362069
"159","2_P_M",0,7277.67717953169,0,4794.36906658108,0,0,0,12072.0462461128,0,0
"160","2_P_U",728.695553224987,66207.0263204607,0,54648.7794876616,1674.04694021582,0,0,123258.548301563,0,0.00591192710985179
"161","30_N_F",16544.6464966127,2402.59149911307,0,0,0,0,21635.5625938174,40582.8005895432,0,0.407676312533139
"162","30_N_L",510013.184561756,231584.189565902,3154.25532631002,29000.367306917,4417.62759873994,201195.592525034,23027.9656804651,1002393.18256512,0.200715244301816,0.511942268576558
"163","30_N_M",3086.43666300861,1012.98868922837,0,726.608275610022,0,0,0,4826.033627847,0,0.639538988124609
"164","30_N_U",316181.665214083,145309.298901499,12245.0614149104,24287.9114487304,2160.28540657222,166631.604291679,3738.4306753221,670554.257352797,0.24849831682451,0.489783970540357
"165","31_N_M",2165.28232775454,1257.4652375729,0,0,0,0,0,3422.74756532744,0,0.632615256143612
"166","31_N_U",9017.12007627369,24929.9564801681,0,0,496.814902040787,0,3755.99771710908,38199.8891755917,0,0.236050948598964
"167","31_P_F",12913.3200750686,99861.1709285178,0,13009.9858572871,0,0,7028.82596051666,132813.30282139,0,0.0972291163667141
"168","31_P_L",709646.566390509,762658.709016131,13537.2343887188,143553.621132101,7053.71278087681,176.60440679642,58973.4956988672,1695599.943814,0.00010415452503447,0.426506148114474
"169","31_P_M",31868.388959955,23061.645996701,0,1084.71560318601,60.8359457421633,0,0,56075.5865055841,0,0.568311290989019
"170","31_P_U",994465.310429841,775227.829292682,190.831401969418,94927.0223961972,1086.73136673191,0,18153.3444546089,1884051.06934203,0,0.527934809208317
"171","3_N_F",7760.66013798119,23818.5696788065,4890.01158717328,1540.63299395588,0,0,0,38009.8743979168,0,0.332825928144814
"172","3_N_L",559772.893307205,339756.750350562,708306.994592423,130930.171676158,35103.9572278241,0,0,1773870.76715417,0,0.714865993273013
"173","3_N_M",30075.8665864966,33253.9283684036,5587.26318287613,23332.8846169799,162.308129279126,0,0,92412.2508840354,0,0.385913441434567
